japanese,english,
何(なに)色(いろ),what color?,
ごめんなさい,I am sorry. / Please forgive me.,
日(に)本(ほん)語(ご)で何(なん)ですか。,What is it in Japanese?,
嫌(きら)い,dislike,
お皿(さら),plate,
お箸(はし),chopsticks,
英(えい)語(ご)で何(なん)ですか。,What is it in English?,
静(しず)か,"quiet, silent",
冷(れい)蔵(ぞう)庫(こ),refrigerator,
時(と)計(けい),clock,
英(えい)語(ご)で__です。,It’s __ in English.,
お茶(ちゃ)わん,bowl,
テレビ,television,
日(に)本(ほん)語(ご)で__です。,It’s __ in Japanese.,
ズボン,pants,
靴(くつ),shoe(s),
新(しん)聞(ぶん),newspaper,
大(だい)好(す)き,really like; like a lot,
買(か)い物(もの),shopping,
観(かん)光(こう),sightseeing,
旅(りょ)行(こう),travel,
宿(しゅく)題(だい),homework,
仕(し)事(ごと),work,
大(だい)嫌(きら)い,really dislike; hate,
コップ,cup; glass,
スプーン,spoon,
フォーク,fork,
魚(さかな),fish,
チキン,chicken,
じゃあ,well then…,
美味(おい)しい,delicious,
美味(おい)しくない,doesn’t taste good,
